FID,objectid,cod_origem,nome_orige,nivel_orig,classe_ori,multipolar,cod_destin,nome_desti,nivel_dest,classe_des,cod_1a,nome_1a,cod_1b,mome_1b,cod_1c,nome_1c,cod_2a,nome_2a,cod_2b,nome_2b,cod_2c,nome_2c,cod_3a,nome_3a,cod_3b,nome_3b,cod_4a,nome_4a,cod_4b,nome_4b,cod_s1,nome_s1,nivel_s1,cod_s2,nome_s2,nivel_s2,cod_s3,nome_s3,nivel_s3,cod_s4,nome_s4,nivel_s4,cod_s5,nome_s5,nivel_s5,cod_s6,nome_s6,nivel_s6,the_geom
RedeUrbanaSintese_Regic2007.16,16,210050,Alto Parnaíba,4b,Centro de Zona B,não,210140,Balsas,3b,Centro Subregional B,,,0,,230440,ACP de Fortaleza,221100,ACP de Teresina,0,,0,,0,,210140,Balsas,0,,0,,230440,ACP de Fortaleza,1c,221100,ACP de Teresina,2a,210140,Balsas,3b,0,,,,,,,,,"MULTILINESTRING ((-45.93041566308483 -9.111410582476662, -46.03641483449968 -7.533399945424481))"
RedeUrbanaSintese_Regic2007.17,17,210407,Feira Nova do Maranhão,5,Centro Local,não,210140,Balsas,3b,Centro Subregional B,,,0,,230440,ACP de Fortaleza,221100,ACP de Teresina,0,,0,,0,,210140,Balsas,0,,0,,230440,ACP de Fortaleza,1c,221100,ACP de Teresina,2a,210140,Balsas,3b,0,,,,,,,,,"MULTILINESTRING ((-46.686419370972196 -6.960395478203562, -46.03641483449968 -7.533399945424481))"
RedeUrbanaSintese_Regic2007.18,18,210410,Fortaleza dos Nogueiras,4b,Centro de Zona B,não,210140,Balsas,3b,Centro Subregional B,,,0,,230440,ACP de Fortaleza,221100,ACP de Teresina,0,,0,,0,,210140,Balsas,0,,0,,230440,ACP de Fortaleza,1c,221100,ACP de Teresina,2a,210140,Balsas,3b,0,,,,,,,,,"MULTILINESTRING ((-46.177415416773016 -6.964395954301026, -46.03641483449968 -7.533399945424481))"
RedeUrbanaSintese_Regic2007.19,19,210610,Loreto,5,Centro Local,não,210140,Balsas,3b,Centro Subregional B,,,0,,230440,ACP de Fortaleza,221100,ACP de Teresina,0,,0,,0,,210140,Balsas,0,,0,,230440,ACP de Fortaleza,1c,221100,ACP de Teresina,2a,210140,Balsas,3b,0,,,,,,,,,"MULTILINESTRING ((-45.14140736457206 -7.084397688094639, -46.03641483449968 -7.533399945424481))"
RedeUrbanaSintese_Regic2007.20,20,210725,Nova Colinas,5,Centro Local,não,210140,Balsas,3b,Centro Subregional B,,,0,,230440,ACP de Fortaleza,221100,ACP de Teresina,0,,0,,0,,210140,Balsas,0,,0,,230440,ACP de Fortaleza,1c,221100,ACP de Teresina,2a,210140,Balsas,3b,0,,,,,,,,,"MULTILINESTRING ((-46.25741617592903 -7.116396917160538, -46.03641483449968 -7.533399945424481))"
RedeUrbanaSintese_Regic2007.2427,2427,130150,Envira,5,Centro Local,não,130140,Eirunepé,4b,Centro de Zona B,,,0,,130260,ACP de Manaus,0,,0,,0,,0,,0,,0,,130140,Eirunepé,130260,ACP de Manaus,1c,130140,Eirunepé,4b,0,,,0,,,,,,,,,"MULTILINESTRING ((-70.02356138821204 -7.433372491864773, -69.87455983005282 -6.660370157612033))"
RedeUrbanaSintese_Regic2007.21,21,210950,Riachão,5,Centro Local,não,210140,Balsas,3b,Centro Subregional B,,,0,,230440,ACP de Fortaleza,221100,ACP de Teresina,0,,0,,0,,210140,Balsas,0,,0,,230440,ACP de Fortaleza,1c,221100,ACP de Teresina,2a,210140,Balsas,3b,0,,,,,,,,,"MULTILINESTRING ((-46.61741920286546 -7.362398246800389, -46.03641483449968 -7.533399945424481))"
RedeUrbanaSintese_Regic2007.22,22,210970,Sambaíba,5,Centro Local,não,210140,Balsas,3b,Centro Subregional B,,,0,,230440,ACP de Fortaleza,221100,ACP de Teresina,0,,0,,0,,210140,Balsas,0,,0,,230440,ACP de Fortaleza,1c,221100,ACP de Teresina,2a,210140,Balsas,3b,0,,,,,,,,,"MULTILINESTRING ((-45.34640903932549 -7.140397894433255, -46.03641483449968 -7.533399945424481))"
RedeUrbanaSintese_Regic2007.23,23,211080,São Félix de Balsas,5,Centro Local,não,210140,Balsas,3b,Centro Subregional B,,,0,,230440,ACP de Fortaleza,221100,ACP de Teresina,0,,0,,0,,210140,Balsas,0,,0,,230440,ACP de Fortaleza,1c,221100,ACP de Teresina,2a,210140,Balsas,3b,0,,,,,,,,,"MULTILINESTRING ((-44.81340475252775 -7.083397967078544, -46.03641483449968 -7.533399945424481))"
RedeUrbanaSintese_Regic2007.24,24,211160,São Raimundo das Mangabeiras,5,Centro Local,não,210140,Balsas,3b,Centro Subregional B,,,0,,230440,ACP de Fortaleza,221100,ACP de Teresina,0,,0,,0,,210140,Balsas,0,,0,,230440,ACP de Fortaleza,1c,221100,ACP de Teresina,2a,210140,Balsas,3b,0,,,,,,,,,"MULTILINESTRING ((-45.4814100024272 -7.022396962153094, -46.03641483449968 -7.533399945424481))"
RedeUrbanaSintese_Regic2007.25,25,110145,Parecis,5,Centro Local,não,110028,Rolim de Moura,4a,Centro de Zona A,,,0,,,,0,,110020,Porto Velho,0,,110012,Ji-Paraná,110004,Cacoal,110028,Rolim de Moura,0,,110020,Porto Velho,2b,110012,Ji-Paraná,3a,110004,Cacoal,3b,110028,Rolim de Moura,4a,,,,,,,"MULTILINESTRING ((-61.60352742398585 -12.17540308274362, -61.7785275594901 -11.733400982150977))"
RedeUrbanaSintese_Regic2007.26,26,211200,Tasso Fragoso,5,Centro Local,não,210140,Balsas,3b,Centro Subregional B,,,0,,230440,ACP de Fortaleza,221100,ACP de Teresina,0,,0,,0,,210140,Balsas,0,,0,,230440,ACP de Fortaleza,1c,221100,ACP de Teresina,2a,210140,Balsas,3b,0,,,,,,,,,"MULTILINESTRING ((-45.74341348208337 -8.475406571162118, -46.03641483449968 -7.533399945424481))"
RedeUrbanaSintese_Regic2007.27,27,210408,Fernando Falcão,5,Centro Local,não,210160,Barra do Corda,4a,Centro de Zona A,,,0,,230440,ACP de Fortaleza,211130,ACP de São Luís,0,,0,,0,,0,,210160,Barra do Corda,0,,230440,ACP de Fortaleza,1c,211130,ACP de São Luís,2a,210160,Barra do Corda,4a,0,,,,,,,,,"MULTILINESTRING ((-44.89340463206102 -6.152391365517067, -45.24340694349885 -5.5063865339382065))"
RedeUrbanaSintese_Regic2007.28,28,210535,Itaipava do Grajaú,5,Centro Local,não,210160,Barra do Corda,4a,Centro de Zona A,,,0,,230440,ACP de Fortaleza,211130,ACP de São Luís,0,,0,,0,,0,,210160,Barra do Corda,0,,230440,ACP de Fortaleza,1c,211130,ACP de São Luís,2a,210160,Barra do Corda,4a,0,,,,,,,,,"MULTILINESTRING ((-45.79141101593959 -5.145383608629891, -45.24340694349885 -5.5063865339382065))"
RedeUrbanaSintese_Regic2007.29,29,210547,Jenipapo dos Vieiras,5,Centro Local,não,210160,Barra do Corda,4a,Centro de Zona A,,,0,,230440,ACP de Fortaleza,211130,ACP de São Luís,0,,0,,0,,0,,210160,Barra do Corda,0,,230440,ACP de Fortaleza,1c,211130,ACP de São Luís,2a,210160,Barra do Corda,4a,0,,,,,,,,,"MULTILINESTRING ((-45.63640994880793 -5.371385309955469, -45.24340694349885 -5.5063865339382065))"
RedeUrbanaSintese_Regic2007.30,30,211163,São Raimundo do Doca Bezerra,5,Centro Local,não,210160,Barra do Corda,4a,Centro de Zona A,,,0,,230440,ACP de Fortaleza,211130,ACP de São Luís,0,,0,,0,,0,,210160,Barra do Corda,0,,230440,ACP de Fortaleza,1c,211130,ACP de São Luís,2a,210160,Barra do Corda,4a,0,,,,,,,,,"MULTILINESTRING ((-45.07740536772898 -5.105383779340018, -45.24340694349885 -5.5063865339382065))"
RedeUrbanaSintese_Regic2007.31,31,210408,Fernando Falcão,5,Centro Local,sim,210160,Barra do Corda,4a,Centro de Zona A,,,0,,230440,ACP de Fortaleza,221100,ACP de Teresina,0,,0,,0,,0,,210160,Barra do Corda,0,,230440,ACP de Fortaleza,1c,221100,ACP de Teresina,2a,210160,Barra do Corda,4a,0,,,,,,,,,"MULTILINESTRING ((-44.89340463206102 -6.152391365517067, -45.24340694349885 -5.5063865339382065))"
RedeUrbanaSintese_Regic2007.32,32,210535,Itaipava do Grajaú,5,Centro Local,sim,210160,Barra do Corda,4a,Centro de Zona A,,,0,,230440,ACP de Fortaleza,221100,ACP de Teresina,0,,0,,0,,0,,210160,Barra do Corda,0,,230440,ACP de Fortaleza,1c,221100,ACP de Teresina,2a,210160,Barra do Corda,4a,0,,,,,,,,,"MULTILINESTRING ((-45.79141101593959 -5.145383608629891, -45.24340694349885 -5.5063865339382065))"
RedeUrbanaSintese_Regic2007.33,33,210547,Jenipapo dos Vieiras,5,Centro Local,sim,210160,Barra do Corda,4a,Centro de Zona A,,,0,,230440,ACP de Fortaleza,221100,ACP de Teresina,0,,0,,0,,0,,210160,Barra do Corda,0,,230440,ACP de Fortaleza,1c,221100,ACP de Teresina,2a,210160,Barra do Corda,4a,0,,,,,,,,,"MULTILINESTRING ((-45.63640994880793 -5.371385309955469, -45.24340694349885 -5.5063865339382065))"
RedeUrbanaSintese_Regic2007.34,34,211163,São Raimundo do Doca Bezerra,5,Centro Local,sim,210160,Barra do Corda,4a,Centro de Zona A,,,0,,230440,ACP de Fortaleza,221100,ACP de Teresina,0,,0,,0,,0,,210160,Barra do Corda,0,,230440,ACP de Fortaleza,1c,221100,ACP de Teresina,2a,210160,Barra do Corda,4a,0,,,,,,,,,"MULTILINESTRING ((-45.07740536772898 -5.105383779340018, -45.24340694349885 -5.5063865339382065))"
RedeUrbanaSintese_Regic2007.35,35,210030,Aldeias Altas,5,Centro Local,não,210300,Caxias,3a,Centro Subregional A,,,0,,230440,ACP de Fortaleza,211130,ACP de São Luís,0,,0,,210300,Caxias,0,,0,,0,,230440,ACP de Fortaleza,1c,211130,ACP de São Luís,2a,210300,Caxias,3a,0,,,,,,,,,"MULTILINESTRING ((-43.47139221712005 -4.62838124775436, -43.356391414054066 -4.859383027058727))"
RedeUrbanaSintese_Regic2007.36,36,150658,Santa Maria das Barreiras,5,Centro Local,não,150270,Conceição do Araguaia,4a,Centro de Zona A,,,0,,150140,ACP de Belém,0,,0,,150420,Marabá,150613,Redenção,0,,150270,Conceição do Araguaia,0,,150140,ACP de Belém,1c,150420,Marabá,2c,150613,Redenção,3a,150270,Conceição do Araguaia,4a,,,,,,,"MULTILINESTRING ((-49.722444301753534 -8.855404537054449, -49.2654402300669 -8.25840136388153))"
RedeUrbanaSintese_Regic2007.37,37,210230,Buriti Bravo,5,Centro Local,não,210300,Caxias,3a,Centro Subregional A,,,0,,230440,ACP de Fortaleza,211130,ACP de São Luís,0,,0,,210300,Caxias,0,,0,,0,,230440,ACP de Fortaleza,1c,211130,ACP de São Luís,2a,210300,Caxias,3a,0,,,,,,,,,"MULTILINESTRING ((-43.834395911449825 -5.837389885390639, -43.356391414054066 -4.859383027058727))"
RedeUrbanaSintese_Regic2007.38,38,210330,Codó,4a,Centro de Zona A,não,210300,Caxias,3a,Centro Subregional A,,,0,,230440,ACP de Fortaleza,211130,ACP de São Luís,0,,0,,210300,Caxias,0,,0,,0,,230440,ACP de Fortaleza,1c,211130,ACP de São Luís,2a,210300,Caxias,3a,0,,,,,,,,,"MULTILINESTRING ((-43.88639547717475 -4.455379738231356, -43.356391414054066 -4.859383027058727))"
RedeUrbanaSintese_Regic2007.39,39,210340,Coelho Neto,4b,Centro de Zona B,não,210300,Caxias,3a,Centro Subregional A,,,0,,230440,ACP de Fortaleza,211130,ACP de São Luís,0,,0,,210300,Caxias,0,,0,,0,,230440,ACP de Fortaleza,1c,211130,ACP de São Luís,2a,210300,Caxias,3a,0,,,,,,,,,"MULTILINESTRING ((-43.01338829713143 -4.257378716430179, -43.356391414054066 -4.859383027058727))"
RedeUrbanaSintese_Regic2007.40,40,211107,São João do Soter,5,Centro Local,não,210300,Caxias,3a,Centro Subregional A,,,0,,230440,ACP de Fortaleza,211130,ACP de São Luís,0,,0,,210300,Caxias,0,,0,,0,,230440,ACP de Fortaleza,1c,211130,ACP de São Luís,2a,210300,Caxias,3a,0,,,,,,,,,"MULTILINESTRING ((-43.810395242393724 -5.114384635000694, -43.356391414054066 -4.859383027058727))"
RedeUrbanaSintese_Regic2007.350,350,240850,Ouro Branco,5,Centro Local,sim,240200,Caicó,3a,Centro Subregional A,,,0,,261160,ACP de Recife,240810,ACP de Natal,0,,0,,240200,Caicó,0,,0,,0,,261160,ACP de Recife,1c,240810,ACP de Natal,2a,240200,Caicó,3a,0,,,,,,,,,"MULTILINESTRING ((-36.94633808901801 -6.701401252039683, -37.09833927029164 -6.458399228225962))"
RedeUrbanaSintese_Regic2007.41,41,211174,Senador Alexandre Costa,5,Centro Local,não,210300,Caxias,3a,Centro Subregional A,,,0,,230440,ACP de Fortaleza,211130,ACP de São Luís,0,,0,,210300,Caxias,0,,0,,0,,230440,ACP de Fortaleza,1c,211130,ACP de São Luís,2a,210300,Caxias,3a,0,,,,,,,,,"MULTILINESTRING ((-44.05639731348627 -5.256385518332602, -43.356391414054066 -4.859383027058727))"
RedeUrbanaSintese_Regic2007.42,42,210030,Aldeias Altas,5,Centro Local,sim,210300,Caxias,3a,Centro Subregional A,,,0,,230440,ACP de Fortaleza,221100,ACP de Teresina,0,,0,,210300,Caxias,0,,0,,0,,230440,ACP de Fortaleza,1c,221100,ACP de Teresina,2a,210300,Caxias,3a,0,,,,,,,,,"MULTILINESTRING ((-43.47139221712005 -4.62838124775436, -43.356391414054066 -4.859383027058727))"
RedeUrbanaSintese_Regic2007.43,43,210230,Buriti Bravo,5,Centro Local,sim,210300,Caxias,3a,Centro Subregional A,,,0,,230440,ACP de Fortaleza,221100,ACP de Teresina,0,,0,,210300,Caxias,0,,0,,0,,230440,ACP de Fortaleza,1c,221100,ACP de Teresina,2a,210300,Caxias,3a,0,,,,,,,,,"MULTILINESTRING ((-43.834395911449825 -5.837389885390639, -43.356391414054066 -4.859383027058727))"
RedeUrbanaSintese_Regic2007.44,44,210330,Codó,4a,Centro de Zona A,sim,210300,Caxias,3a,Centro Subregional A,,,0,,230440,ACP de Fortaleza,221100,ACP de Teresina,0,,0,,210300,Caxias,0,,0,,0,,230440,ACP de Fortaleza,1c,221100,ACP de Teresina,2a,210300,Caxias,3a,0,,,,,,,,,"MULTILINESTRING ((-43.88639547717475 -4.455379738231356, -43.356391414054066 -4.859383027058727))"
RedeUrbanaSintese_Regic2007.45,45,210340,Coelho Neto,4b,Centro de Zona B,sim,210300,Caxias,3a,Centro Subregional A,,,0,,230440,ACP de Fortaleza,221100,ACP de Teresina,0,,0,,210300,Caxias,0,,0,,0,,230440,ACP de Fortaleza,1c,221100,ACP de Teresina,2a,210300,Caxias,3a,0,,,,,,,,,"MULTILINESTRING ((-43.01338829713143 -4.257378716430179, -43.356391414054066 -4.859383027058727))"
RedeUrbanaSintese_Regic2007.46,46,211107,São João do Soter,5,Centro Local,sim,210300,Caxias,3a,Centro Subregional A,,,0,,230440,ACP de Fortaleza,221100,ACP de Teresina,0,,0,,210300,Caxias,0,,0,,0,,230440,ACP de Fortaleza,1c,221100,ACP de Teresina,2a,210300,Caxias,3a,0,,,,,,,,,"MULTILINESTRING ((-43.810395242393724 -5.114384635000694, -43.356391414054066 -4.859383027058727))"
RedeUrbanaSintese_Regic2007.47,47,170600,Couto de Magalhães,5,Centro Local,sim,150270,Conceição do Araguaia,4a,Centro de Zona A,,,0,,150140,ACP de Belém,0,,0,,150420,Marabá,150613,Redenção,0,,150270,Conceição do Araguaia,0,,150140,ACP de Belém,1c,150420,Marabá,2c,150613,Redenção,3a,150270,Conceição do Araguaia,4a,,,,,,,"MULTILINESTRING ((-49.24744012524462 -8.284401546564395, -49.2654402300669 -8.25840136388153))"
RedeUrbanaSintese_Regic2007.48,48,211174,Senador Alexandre Costa,5,Centro Local,sim,210300,Caxias,3a,Centro Subregional A,,,0,,230440,ACP de Fortaleza,221100,ACP de Teresina,0,,0,,210300,Caxias,0,,0,,0,,230440,ACP de Fortaleza,1c,221100,ACP de Teresina,2a,210300,Caxias,3a,0,,,,,,,,,"MULTILINESTRING ((-44.05639731348627 -5.256385518332602, -43.356391414054066 -4.859383027058727))"
RedeUrbanaSintese_Regic2007.49,49,210080,Anapurus,5,Centro Local,não,210320,Chapadinha,3b,Centro Subregional B,,,0,,230440,ACP de Fortaleza,211130,ACP de São Luís,0,,0,,0,,210320,Chapadinha,0,,0,,230440,ACP de Fortaleza,1c,211130,ACP de São Luís,2a,210320,Chapadinha,3b,0,,,,,,,,,"MULTILINESTRING ((-43.116388863243216 -3.6723742495618663, -43.36039087671834 -3.7423746710585513))"
RedeUrbanaSintese_Regic2007.50,50,210173,Belágua,5,Centro Local,não,210320,Chapadinha,3b,Centro Subregional B,,,0,,230440,ACP de Fortaleza,211130,ACP de São Luís,0,,0,,0,,210320,Chapadinha,0,,0,,230440,ACP de Fortaleza,1c,211130,ACP de São Luís,2a,210320,Chapadinha,3b,0,,,,,,,,,"MULTILINESTRING ((-43.510391851665325 -3.155370165969489, -43.36039087671834 -3.7423746710585513))"
RedeUrbanaSintese_Regic2007.51,51,210210,Brejo,4b,Centro de Zona B,não,210320,Chapadinha,3b,Centro Subregional B,,,0,,230440,ACP de Fortaleza,211130,ACP de São Luís,0,,0,,0,,210320,Chapadinha,0,,0,,230440,ACP de Fortaleza,1c,211130,ACP de São Luís,2a,210320,Chapadinha,3b,0,,,,,,,,,"MULTILINESTRING ((-42.75038588133332 -3.6843745002587225, -43.36039087671834 -3.7423746710585513))"
RedeUrbanaSintese_Regic2007.52,52,210640,Mata Roma,5,Centro Local,não,210320,Chapadinha,3b,Centro Subregional B,,,0,,230440,ACP de Fortaleza,211130,ACP de São Luís,0,,0,,0,,210320,Chapadinha,0,,0,,230440,ACP de Fortaleza,1c,211130,ACP de São Luís,2a,210320,Chapadinha,3b,0,,,,,,,,,"MULTILINESTRING ((-43.11138880250241 -3.625373895323859, -43.36039087671834 -3.7423746710585513))"
RedeUrbanaSintese_Regic2007.53,53,211040,São Benedito do Rio Preto,5,Centro Local,não,210320,Chapadinha,3b,Centro Subregional B,,,0,,230440,ACP de Fortaleza,211130,ACP de São Luís,0,,0,,0,,210320,Chapadinha,0,,0,,230440,ACP de Fortaleza,1c,211130,ACP de São Luís,2a,210320,Chapadinha,3b,0,,,,,,,,,"MULTILINESTRING ((-43.528392065882336 -3.334371516373161, -43.36039087671834 -3.7423746710585513))"
RedeUrbanaSintese_Regic2007.54,54,150293,Dom Eliseu,5,Centro Local,não,210530,Imperatriz,2c,Capital Regional C,,,0,,230440,ACP de Fortaleza,211130,ACP de São Luís,0,,210530,Imperatriz,0,,0,,0,,0,,230440,ACP de Fortaleza,1c,211130,ACP de São Luís,2a,210530,Imperatriz,2c,0,,,,,,,,,"MULTILINESTRING ((-47.50542372943416 -4.285376538061738, -47.476424291927195 -5.526385112308809))"
RedeUrbanaSintese_Regic2007.55,55,170220,Araguatins,4b,Centro de Zona B,não,210530,Imperatriz,2c,Capital Regional C,,,0,,230440,ACP de Fortaleza,211130,ACP de São Luís,0,,210530,Imperatriz,0,,0,,0,,0,,230440,ACP de Fortaleza,1c,211130,ACP de São Luís,2a,210530,Imperatriz,2c,0,,,,,,,,,"MULTILINESTRING ((-48.124429293728646 -5.651385488495989, -47.476424291927195 -5.526385112308809))"
RedeUrbanaSintese_Regic2007.56,56,171070,Itaguatins,5,Centro Local,não,210530,Imperatriz,2c,Capital Regional C,,,0,,230440,ACP de Fortaleza,211130,ACP de São Luís,0,,210530,Imperatriz,0,,0,,0,,0,,230440,ACP de Fortaleza,1c,211130,ACP de São Luís,2a,210530,Imperatriz,2c,0,,,,,,,,,"MULTILINESTRING ((-47.481424505914475 -5.768386756261345, -47.476424291927195 -5.526385112308809))"
